time,title,intro
2017-12-29 09:03,褚春天：暨南精神在军营里的实践者,"大学生应征入伍，是怎样的体验？在拥有5万多名学子的暨南园中，褚春天，成为了一抹鲜亮的风景。
		“阳光、帅气、有担当”，是我校学工部部长区向丽见到褚春天的第一印象，这位我校体育学院2014级本科学生，于2016年9月20日，响应国家号召，来到了武警某师，成为了一名新兵。短短三个月，他便拿到了“最美新兵”“爱军习…"
2017-12-27 16:34,第六届优秀学子奖励计划“学习之星”“风尚之星”答辩,"12月1日，第六届5A卓越引领计划之优秀学子奖励计划“学习之星”、“风尚之星”答辩会于校本部学术报告厅举行。两场答辩会由学生处主办，理工学院承办，学校、各校区相关职能部门领导担任两场答辩会的专家评委，各学院主管学生工作领导和辅导员老师担任学院评委。
		
				学习之星：“勤奋好学，砥砺前行”
		
		“学…"
2017-12-27 16:08,第六届优秀学子奖励计划“学术之星”“进取之星”答辩,"11月30日，我校第六届5A卓越引领计划之优秀学子奖励计划“学术之星”、“进取之星”答辩会在校本部学术报告厅举行。本次答辩会由学生处主办，生命科学技术学院承办，学校相关职能部门领导担任两场答辩会的专家评委，各学院主管学生工作领导和辅导员老师担任学院评委。
		
				学术之星：“上下求索，格物致知”
		
		…"
2017-12-27 16:03,第六届优秀学子奖励计划“创业之星”“艺术之星”答辩,"11月29日，我校第六届5A卓越引领计划之优秀学子奖励计划之“创业之星”、“艺术之星”答辩会在番禺校区图书馆报告厅举行。本场答辩会由学生处主办，外国语学院承办，学校相关职能部门领导担任两场答辩会的专家评委，各学院主管学生工作领导和辅导员老师担任学院评委。
		
				创业之星：“追逐梦想，创新无限”
		
		…"
2017-12-27 15:57,第六届优秀学子奖励计划“自强之星”“体育之星”答辩,"11月28日，我校第六届5A卓越引领计划之优秀学子奖励计划“自强之星”“体育之星”答辩会于番禺校区图书馆学术报告厅举行。本场答辩会由学生处主办，经济学院承办，学校相关职能部门领导担任两场答辩会的专家评委，各学院主管学生工作领导和辅导员老师担任学院评委。
		
				自强之星：“永不言败，心存感恩”
		
		来…"
2017-12-27 15:49,第六届优秀学子奖励计划“暨南之星”“领袖之星”答辩,"11月27日，我校第六届5A卓越引领计划之优秀学子奖励计划“暨南之星”和“领袖之星”答辩会在番禺校区图书馆学术报告厅举行。本场答辩会由学生处主办，管理学院承办，44位候选人齐聚一堂，尽展暨南学子风采。学校相关职能部门领导担任两场答辩会的专家评委，各学院主管学生工作领导和辅导员老师担任学院评委。
		
				
…"
2017-12-21 12:07,林英才：怀赤子之心为初心与使命奋斗,"林英才，国际关系学院2015级国际政治专业，老挝第四代华裔。曾获中国政府奖学金(CSC)、暨南大学新生奖学金、暨南大学华侨华人一等奖学金等奖励，荣获我校第六届“5A”卓越引领计划领袖之星荣誉称号，现任我校学生代表大会华侨华人留学生代表、第一届老挝学生联合会主席。
		
				
		
		(林英才)
		
				从零开始创…"
2017-12-21 16:03,叶耀坤：仰望“星”空与脚踏实地,"叶耀坤，理工学院应用物理学专业2014级学生，学习绩点专业第一。曾获国家奖学金等多项奖励，发表中文核心期刊论文一篇、获我校第六届“5A卓越引领计划”暨南之星标兵奖，入选我校本科优异生培养计划，已推免为北京大学直博生。
		
				
		
		（叶耀坤）
		
				仰望星空：播撒“5A”的种子
		
		三年前，作为亲友…"
2017-12-21 11:36,JNU暨语团队：助力网络思政 服务学生发展,"随着第六届“5A卓越引领计划”之优秀学子奖励计划答辩会的落幕，JNU暨语团队又多了2名闪耀的暨南“星星”。自此，这个仅有19人的团队已诞生5颗暨南“星星”。
		
				JNU暨语团队成立于今年3月份，由一群有梦想、有想法、有激情的暨南学子组成。团队以我校学生学习与发展官方微信平台为主阵地，专注网络思政，
				就…"
2017-12-21 09:22,暨南有一群“暖心”人,“在教学过程中我才知道，教的内容简单是一回事，如何把这个内容教好又是一回事。”暨南大学人文学院暖心志愿服务队队长叶若茵分享了队员杨洁发表的心得。暖心人将人文关怀薪火相传，默默奉献，希望通过教学帮助帮扶对象培养独立自主生活和与人正常交往的能力。在一次常规教学中，杨洁表示，笔画、汉字等对很多人来说都很…
2017-12-20 09:32,暨南青年说|听港人港事，做“超级联系人”,暨南青年说是港澳台侨青年学生成长和分享的沟通平台，听暨南人成长成才的故事，说青年人责任担当的理想。
2017-12-18 16:18,珠海校区志愿者助力2017年广东省旅游文化节,12月12日，2017年广东省旅游文化节在主会场珠海大剧院举办，本次活动围绕“活力广东·浪漫珠海”主题，以建设“粤港澳大湾区”和“港珠澳滨海国际休闲旅游目的地”为目标，把广东旅游文化节办成推介旅游形象、开拓国际旅游市场、促进产业融合、推动招商引资、加快城市发展升级和群众广泛参与的惠民节庆活动，实现经济效益…
2017-12-18 17:25,免费修电脑！珠海校区“电脑义修队”获赞技能高服务好,加入电脑义修队，每个人都有自己的“小心思”：2017级包装陈卓坚想要通过电脑义修队为电脑故障的同学提供一条有效且便捷的维修通道；2017级电信蔡泽林希望自己掌握技能的同时，锻炼人际交往能力，帮助他人，与人为善；2016级软工林树豪则希望利用自己的专业优势，学以致用，能让自己学到的知识在实践的同时帮助到别人………
2017-12-15 21:09,我校港澳台侨志愿者助力《财富》全球论坛,"12月6日，以“开放与创新：构建经济新格局”为主题《财富》全球论坛在广州开幕。经过广州《财富》全球论坛组委会志愿服务团队及团广州市委等选拔，我校共有174名同学成功入选，其中多名港澳台侨学子参与此次论坛志愿服务工作。
		
				
		
		
				
		
		(无人机团队)
		在我校举办的《财富》全球论坛誓师大会上，…"
2017-12-12 17:09,暨南青年说|用4天时间，看澳门这些年的变化,"12月4日至7日，学生处处长区向丽、番禺校区党工委常务副书记林晓灵、经济学院常委书记张志带领优秀澳门学生访澳团一行28人，参加为期4天的社会实践考察和学习交流活动。
		12月10日，第三届“暨南青年说”在番禺校区紫菜生活馆举行，优秀澳门学生访澳团的同学们就社会实践畅谈自己在澳门的所见所闻所得。本次活动由学生…"
2017-12-08 09:10,【微信】多彩暨南人 | 7天一条片！毕业半年入驻珠江新城，暨大这群年轻人…,从团队成立之初，就不断地有人问陈嘉瑞，你们的核心价值是什么，为什么要选择你们？
,,
,,
2017-11-23 17:08,袁晓露：在兴趣的指引下做好一件事,"一块大石头终于落地了。9月17日，袁晓露终于拿到了我校的学术保研名额。这意味着她终于可以在一年后与青睐的上海交通大学(后称“交大”)相遇了。
		
				
		
		（袁晓露在挑战杯国赛现场）
		袁晓露是我校新闻与传播学院2014级新闻学的学生，9月28日，她在推免服务系统接受了交大的待录取通知。她喜欢旅游，也是一个…"
,,
